label,auc_cnn,pr_cnn,auc_text,pr_text,auc_combined,pr_combined
Atelectasis,0.7242019401689674,0.2677485487938105,0.7134118482334044,0.260088740989415,0.7216812840436989,0.26641975118543276
Cardiomegaly,0.8772221332287612,0.29476621372778494,0.8633208187474963,0.28980641834063603,0.8760382713986691,0.29248583218718865
Consolidation,0.7033490865858952,0.13713656880978617,0.693899799397695,0.12037747328198885,0.7022034281366598,0.13172750015697676
Edema,0.7698515271787535,0.09570213935773217,0.753524665681449,0.08925361335778183,0.7621620087924655,0.09267083415683006
Pleural Effusion,0.8063115551762138,0.47074224134948406,0.800988476465123,0.460072775937782,0.805454651950227,0.46994460114105385
MACRO,0.7761872484677182,0.2532191424077196,0.7650291217050336,0.24391980438152072,0.773507928864344,0.2506497037654964
